,avg_price_per_room,lead_time,market_segment_type_Complementary,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online,no_of_adults,repeated_guest,arrival_year,no_of_special_requests
25629,1.636392003989328,-0.6915647719573013,0.0,0.0,0.0,1.0,2,0,2017,0
14473,0.5122269472051805,0.1470331786585465,0.0,0.0,0.0,1.0,2,0,2018,2
23720,-0.9534566078425055,4.04884308777395,0.0,0.0,1.0,0.0,2,0,2018,0
5843,-0.8894218894180921,1.2768109732382302,0.0,0.0,1.0,0.0,2,0,2018,0
18709,0.7541358834751869,1.195280616928356,0.0,0.0,1.0,0.0,1,0,2018,0
7411,0.25608807350752655,-0.13249947154673608,0.0,0.0,0.0,1.0,2,0,2018,1
22965,-0.24195973646013372,2.185292086405399,0.0,0.0,1.0,0.0,2,0,2018,0
25677,-1.0587581448070966,-0.92450864712837,0.0,0.0,0.0,1.0,2,0,2018,0
33711,-0.5646947173191776,0.042208434831565535,0.0,0.0,0.0,1.0,2,0,2018,1
20727,2.1771296262399304,-0.342148959200698,0.0,0.0,0.0,1.0,2,0,2018,1
6176,0.30731584824705727,0.2052691474513137,0.0,0.0,0.0,1.0,2,0,2018,1
8934,0.3961106577955774,0.8109232228960926,0.0,0.0,0.0,1.0,1,0,2018,0
6712,0.7199840336488333,-0.9594502284040304,0.0,0.0,0.0,1.0,2,0,2018,0
19752,0.4695371349222381,1.1021030668599285,0.0,0.0,1.0,0.0,1,0,2018,0
21523,-0.3885280919649025,0.07715001610722586,0.0,0.0,0.0,1.0,2,0,2018,2
21649,-0.6119381095789671,-0.342148959200698,0.0,0.0,1.0,0.0,2,0,2017,0
7134,0.1849383863692894,2.255175248956719,0.0,0.0,0.0,1.0,2,0,2018,0
31509,0.30731584824705727,0.5663321539664704,0.0,0.0,0.0,1.0,2,0,2018,1
2604,1.0102747571728408,-0.9012142596112631,0.0,0.0,0.0,1.0,2,0,2018,1
15869,1.9494506273975716,-0.8779198720941562,0.0,0.0,0.0,1.0,3,0,2018,2
11828,1.2664136308704945,-0.9710974221625838,0.0,0.0,0.0,1.0,2,0,2018,1
29922,-0.6830877967172043,-0.38873773423491176,0.0,0.0,0.0,1.0,2,0,2018,1
8318,-1.2095954815401595,0.35668266631250845,0.0,0.0,1.0,0.0,1,0,2018,0
4659,2.3564268378282884,0.042208434831565535,0.0,0.0,0.0,1.0,2,0,2018,0
5568,0.4695371349222381,1.2535165857211232,0.0,0.0,0.0,1.0,2,0,2018,0
8459,-0.3842591107366081,0.07715001610722586,0.0,0.0,1.0,0.0,2,0,2018,0
5934,0.7683658209028343,0.11209159738288618,0.0,0.0,0.0,1.0,2,0,2018,1
8596,0.1564785115139945,-0.92450864712837,0.0,0.0,0.0,1.0,2,0,2018,1
33985,0.07679086191916894,-0.2955601841664842,0.0,0.0,0.0,1.0,2,0,2018,1
11597,0.04263901209281501,3.1869507496409946,0.0,0.0,0.0,1.0,2,0,2018,1
32361,-0.42979491050507973,-0.21402982785661015,0.0,0.0,0.0,1.0,2,0,2018,2
16792,0.5762616656295939,1.0671614855842684,0.0,0.0,0.0,1.0,2,0,2018,0
25330,-1.4071070130359058,0.1819747599342068,0.0,0.0,0.0,1.0,2,0,2018,0
1598,-0.6688578592895569,-0.8196839033013891,0.0,1.0,0.0,0.0,1,0,2018,0
35681,-0.2647276363443695,-0.6449759969230875,0.0,0.0,0.0,1.0,1,0,2018,0
7924,0.7214070273915976,0.042208434831565535,0.0,0.0,0.0,1.0,2,0,2018,0
13400,0.8537454454687189,-0.7498007407500684,0.0,0.0,0.0,1.0,2,0,2017,0
32354,-0.9534566078425055,-0.92450864712837,0.0,0.0,1.0,0.0,2,0,2017,0
10944,0.4652681536939437,0.5779793477250238,0.0,0.0,0.0,1.0,2,0,2018,2
16525,-2.945647847713147,-0.9827446159211373,0.0,0.0,0.0,1.0,1,0,2018,0
34900,1.203801906188846,-0.5634456406132133,0.0,0.0,0.0,1.0,2,0,2017,2
7955,-0.8111572335660312,-0.47026809054478586,0.0,0.0,1.0,0.0,2,0,2018,1
25584,-0.8894218894180921,0.9623367417572873,0.0,0.0,1.0,0.0,2,0,2018,2
17547,-0.09112239972707098,0.6711568977934513,0.0,0.0,0.0,1.0,2,0,2018,0
15661,-0.8054652585949722,-0.7032119657158546,0.0,0.0,0.0,1.0,1,0,2018,0
5665,-0.05697054990071705,0.19362195369276025,0.0,0.0,0.0,1.0,2,0,2017,0
13534,-0.6233220595210852,-0.9478030346454769,0.0,0.0,1.0,0.0,2,0,2017,2
33359,0.12801863665869964,0.2635051162440809,0.0,0.0,0.0,1.0,2,0,2018,2
2132,-1.09575598211898,-0.9012142596112631,0.0,1.0,0.0,0.0,1,1,2018,1
18973,2.319429000516405,-0.342148959200698,0.0,0.0,1.0,0.0,2,0,2017,0
13371,3.3155246204517255,-0.8546254845770493,0.0,0.0,0.0,1.0,2,0,2018,0
19992,-0.6688578592895569,-0.9943918096796907,0.0,0.0,0.0,1.0,1,0,2017,0
11387,-0.8111572335660312,-0.5634456406132133,0.0,0.0,1.0,0.0,2,0,2018,1
22552,1.5510123794234434,-0.9943918096796907,0.0,0.0,0.0,1.0,3,0,2018,0
13505,-0.4696387353024927,-0.5401512530961065,0.0,0.0,1.0,0.0,1,0,2017,0
9682,0.01275614349475547,-0.5750928343717668,0.0,0.0,0.0,1.0,2,0,2018,0
31251,0.8039406644719529,-0.2606186028908239,0.0,0.0,1.0,0.0,2,0,2018,2
3930,0.2421427348284322,0.018914047314458653,0.0,0.0,0.0,1.0,0,0,2018,1
1895,-0.6916257591737927,-0.3188545716835911,0.0,0.0,0.0,1.0,2,0,2017,1
9535,-1.4657343552378133,2.511413511644895,0.0,0.0,1.0,0.0,2,0,2018,0
1808,0.32723776064576376,3.0355372307798,0.0,0.0,0.0,1.0,2,0,2018,1
19052,-0.35579923588131324,3.2102451371581013,0.0,0.0,0.0,1.0,1,1,2018,0
34903,-1.09575598211898,-0.9594502284040304,0.0,1.0,0.0,0.0,1,1,2018,0
31660,-0.9249967329872107,-0.4236793155105721,0.0,0.0,1.0,0.0,2,0,2017,0
25687,0.8964352577516612,-0.7730951282671753,0.0,0.0,0.0,1.0,1,0,2018,0
27329,-0.05697054990071705,-0.13249947154673608,0.0,0.0,1.0,0.0,2,0,2017,0
628,0.10240474928893407,-0.5983872218888737,0.0,0.0,0.0,1.0,2,0,2018,1
34081,-0.6958947404020871,-0.14414666530528952,0.0,0.0,0.0,1.0,2,0,2018,1
24738,-1.0388362324083902,-0.9943918096796907,0.0,1.0,0.0,0.0,1,0,2018,0
14654,-0.20496189914825047,0.10044440362433274,0.0,0.0,0.0,1.0,2,0,2018,1
21506,-0.7661906312946654,0.5663321539664704,0.0,0.0,0.0,1.0,2,0,2018,1
8475,-0.6688578592895569,-0.9827446159211373,0.0,0.0,0.0,1.0,1,0,2018,0
2266,0.691524158793538,-0.12085227778818262,0.0,0.0,0.0,1.0,2,0,2018,1
11048,1.0387346320281357,0.17032756617565337,0.0,0.0,1.0,0.0,2,0,2018,1
6272,0.35854362298658793,0.06550282234867241,0.0,0.0,0.0,1.0,2,0,2018,0
9057,-0.24195973646013372,-0.7381535469915149,0.0,0.0,1.0,0.0,2,0,2018,0
34652,1.408713005146969,-0.842978290818496,0.0,0.0,0.0,1.0,2,0,2017,0
21202,-0.868076983276621,-0.6216816094059806,0.0,0.0,1.0,0.0,1,0,2017,0
23144,0.6659102714237729,-0.2606186028908239,0.0,0.0,0.0,1.0,2,0,2018,1
26961,0.6744482338803612,-0.6915647719573013,0.0,0.0,0.0,1.0,3,0,2018,0
1890,0.3841575103563535,2.453177542852128,0.0,0.0,0.0,1.0,2,0,2018,1
7220,-0.24195973646013372,-0.9012142596112631,0.0,0.0,0.0,1.0,1,0,2018,0
23160,0.773203999628234,-0.9128614533698166,0.0,0.0,0.0,1.0,2,0,2018,0
29728,0.1849383863692894,2.0688201488198645,0.0,0.0,1.0,0.0,2,0,2018,0
11389,-0.9534566078425055,0.636215316517791,0.0,0.0,1.0,0.0,2,0,2017,0
24095,-0.2561896738877812,0.53139057269081,0.0,0.0,1.0,0.0,2,0,2017,0
19617,0.953355007462251,-0.92450864712837,0.0,0.0,0.0,1.0,3,0,2018,0
11836,1.1838799937901392,1.5563436234435128,0.0,0.0,0.0,1.0,2,0,2018,1
30814,-0.8111572335660312,-0.7730951282671753,0.0,0.0,1.0,0.0,1,0,2018,0
11242,1.0956543817387254,-0.8080367095428356,0.0,0.0,0.0,1.0,3,0,2017,4
20747,-0.8111572335660312,-0.33050176544214455,0.0,0.0,1.0,0.0,1,0,2018,0
28486,1.380253130291674,-0.9128614533698166,0.0,0.0,0.0,1.0,2,0,2017,1
6253,-1.09575598211898,-0.7847423220257287,0.0,1.0,0.0,0.0,1,1,2018,1
14018,-1.1051477408212271,-0.633328803164534,0.0,0.0,0.0,1.0,2,0,2018,1
14065,-0.5265584850130824,-0.92450864712837,0.0,0.0,1.0,0.0,2,0,2018,0
579,-1.0388362324083902,0.7293928665862185,0.0,0.0,1.0,0.0,2,0,2017,0
15961,0.4220091439138956,-0.2606186028908239,0.0,0.0,0.0,1.0,2,0,2018,3
28109,-0.25277448890514564,1.0788086793428218,0.0,0.0,0.0,1.0,2,0,2018,0
9303,-0.9249967329872107,0.7643344478618789,0.0,0.0,1.0,0.0,1,0,2018,0
30212,-0.8894218894180921,0.0887972098657793,0.0,0.0,0.0,1.0,2,0,2017,2
21161,-0.4867146602156695,0.19362195369276025,0.0,0.0,0.0,1.0,1,0,2018,2
28889,-0.8894218894180921,0.9506895479987338,0.0,0.0,1.0,0.0,2,0,2018,1
15931,0.008487162266461078,-0.33050176544214455,0.0,0.0,0.0,1.0,2,0,2018,1
11198,-0.7684674212830889,1.1137502606184821,0.0,0.0,0.0,1.0,2,0,2017,2
9724,0.11635008796802883,1.8591706611659025,0.0,0.0,0.0,1.0,2,0,2018,0
4335,-0.6475129531480857,-0.4236793155105721,0.0,0.0,1.0,0.0,2,0,2018,0
18651,0.4695371349222381,-0.16744105282239638,0.0,0.0,1.0,0.0,1,0,2018,0
23920,-0.8111572335660312,-0.4819152843033393,0.0,0.0,1.0,0.0,2,0,2018,0
22696,-1.1313308256880985,-0.9710974221625838,0.0,0.0,1.0,0.0,2,0,2018,0
32956,0.0782138556619336,0.7177456728276651,0.0,0.0,0.0,1.0,2,0,2018,2
15140,3.40090424501761,-0.9943918096796907,0.0,0.0,0.0,1.0,2,0,2018,0
31097,-1.0246062949807428,-0.4819152843033393,0.0,0.0,0.0,1.0,2,0,2018,0
4794,-1.2522852938231017,0.35668266631250845,0.0,0.0,0.0,1.0,2,0,2018,0
3525,0.6402963840540074,-0.8662726783356028,0.0,0.0,0.0,1.0,2,0,2018,1
31413,0.30731584824705727,0.5080961851737031,0.0,0.0,0.0,1.0,2,0,2018,1
2390,-0.5183051213050468,-0.842978290818496,0.0,0.0,0.0,1.0,2,0,2017,1
23100,-0.6475129531480857,1.1719862294112493,0.0,0.0,1.0,0.0,2,0,2018,0
25990,-0.29887948617072346,-0.7614479345086218,0.0,0.0,0.0,1.0,2,0,2018,2
30418,-0.24195973646013372,-0.8546254845770493,0.0,0.0,0.0,1.0,1,0,2018,0
4254,-0.6475129531480857,-0.8779198720941562,0.0,0.0,0.0,1.0,2,0,2017,0
10714,-1.2522852938231017,0.19362195369276025,0.0,0.0,1.0,0.0,2,0,2018,0
34189,-0.2704196113154286,-0.9128614533698166,0.0,1.0,0.0,0.0,1,0,2018,0
30103,0.5833766343434176,-0.6915647719573013,0.0,0.0,0.0,1.0,2,0,2017,3
23388,-0.3572222296240779,0.24021072872697402,0.0,0.0,0.0,1.0,2,0,2018,1
19152,0.32723776064576376,2.7327101930574105,0.0,0.0,1.0,0.0,2,0,2018,1
5221,-0.9819164826978004,-0.9943918096796907,0.0,0.0,0.0,1.0,1,1,2017,1
17767,-0.640397984434262,-0.842978290818496,0.0,0.0,0.0,1.0,2,0,2018,0
7964,-0.0017583926814450602,-0.8196839033013891,0.0,0.0,0.0,1.0,2,0,2018,0
34331,-0.6688578592895569,2.1503505051297385,0.0,0.0,1.0,0.0,2,0,2018,0
22996,-0.40560401687807923,0.19362195369276025,0.0,0.0,0.0,1.0,2,0,2017,0
21012,-0.4696387353024927,0.19362195369276025,0.0,0.0,1.0,0.0,1,0,2017,0
14931,-1.09575598211898,-0.9827446159211373,0.0,1.0,0.0,0.0,1,0,2017,0
11451,-0.24195973646013372,-0.08591069651252231,0.0,0.0,1.0,0.0,2,0,2018,1
14638,-0.09966036218365937,0.3100938912782947,0.0,0.0,1.0,0.0,2,0,2018,0
35024,0.1564785115139945,2.185292086405399,0.0,0.0,1.0,0.0,2,0,2017,0
35556,0.725676008619892,-0.7032119657158546,0.0,0.0,0.0,1.0,1,0,2018,2
16604,-0.6788188154889099,-0.15579385906384294,0.0,0.0,0.0,1.0,2,0,2018,0
16711,-0.7684674212830889,0.0887972098657793,0.0,0.0,0.0,1.0,2,0,2017,2
29120,0.30731584824705727,0.06550282234867241,0.0,0.0,0.0,1.0,2,0,2018,0
705,-0.9053594193370573,-0.7148591594744081,0.0,0.0,0.0,1.0,2,0,2018,1
2146,-1.067296107263685,-0.9361558408869235,0.0,1.0,0.0,0.0,1,1,2018,0
28323,-0.44117886044719784,-0.92450864712837,0.0,0.0,0.0,1.0,1,0,2018,0
1066,0.9220491451214268,-0.33050176544214455,0.0,0.0,0.0,1.0,2,0,2018,1
3570,-2.945647847713147,-0.8313310970599425,0.0,0.0,0.0,1.0,1,0,2017,0
4216,-0.8054652585949722,-0.8546254845770493,0.0,0.0,0.0,1.0,1,0,2018,0
30827,-0.8638080020483265,-0.9361558408869235,0.0,0.0,0.0,1.0,1,0,2017,0
31915,-0.640397984434262,0.15868037241709995,0.0,1.0,0.0,0.0,1,0,2018,0
27093,0.1795310101467834,0.13538598489999307,0.0,0.0,0.0,1.0,2,0,2018,1
20702,-0.502367591386082,-0.342148959200698,0.0,0.0,0.0,1.0,2,0,2018,1
4241,0.5634547219447111,-0.2955601841664842,0.0,0.0,0.0,1.0,2,0,2018,1
9038,-0.5165975288137294,-0.9012142596112631,0.0,0.0,0.0,1.0,1,0,2018,1
35500,1.588010216735327,1.3117525545138906,0.0,0.0,0.0,1.0,3,0,2018,1
4169,-0.8894218894180921,0.9041007729645201,0.0,0.0,1.0,0.0,2,0,2018,1
9480,0.4072100089891424,-0.7730951282671753,0.0,0.0,0.0,1.0,1,0,2018,1
25578,-0.6688578592895569,-0.7614479345086218,0.0,0.0,1.0,0.0,2,0,2018,0
616,-0.13381221201001328,-0.9594502284040304,0.0,0.0,1.0,0.0,1,0,2017,0
15770,-1.4799642926654608,-0.9827446159211373,0.0,0.0,1.0,0.0,2,0,2018,0
24459,-0.680241809231675,-0.6449759969230875,0.0,0.0,0.0,1.0,2,0,2018,1
16817,0.1849383863692894,0.37997705382961533,0.0,0.0,1.0,0.0,1,0,2018,0
5382,0.32723776064576376,3.5014249811219376,0.0,0.0,0.0,1.0,2,0,2018,1
5467,-0.025664687559892853,1.1719862294112493,0.0,0.0,0.0,1.0,2,0,2018,2
4528,-0.41271898559190295,2.5463550929205554,0.0,0.0,0.0,1.0,2,0,2018,0
9154,-1.3803547306719286,-0.9710974221625838,0.0,0.0,1.0,0.0,1,0,2018,0
1972,-0.8111572335660312,-0.8546254845770493,0.0,0.0,1.0,0.0,1,0,2017,0
24452,2.774786998201123,-0.8895670658527097,0.0,0.0,0.0,1.0,2,0,2018,3
30766,2.390578687654642,1.137044648135589,0.0,0.0,0.0,1.0,3,0,2018,0
1523,-1.8832407193649892,-0.07426350275396887,1.0,0.0,0.0,0.0,2,0,2017,1
13910,-0.0783154560421882,1.9872897925099902,0.0,0.0,0.0,1.0,2,0,2018,0
28342,-0.20496189914825047,0.13538598489999307,0.0,0.0,0.0,1.0,2,0,2018,1
34616,0.2597878572387148,1.0438670980671614,0.0,0.0,0.0,1.0,2,0,2018,0
16477,-1.3086358460365854,-0.19073544033950326,0.0,0.0,0.0,1.0,1,0,2018,1
28654,-0.24195973646013372,-0.8779198720941562,0.0,0.0,1.0,0.0,2,0,2018,1
16822,-1.1583677068006288,-0.9943918096796907,0.0,0.0,1.0,0.0,2,0,2017,0
