,booking_status
25629,1
14473,1
23720,0
5843,1
18709,0
7411,0
22965,0
25677,1
33711,1
20727,0
6176,1
8934,0
6712,1
19752,0
21523,1
21649,1
7134,0
31509,1
2604,1
15869,1
11828,1
29922,0
8318,0
4659,0
5568,0
8459,1
5934,1
8596,0
33985,1
11597,0
32361,0
16792,0
25330,1
1598,1
35681,1
7924,1
13400,0
32354,1
10944,1
16525,1
34900,1
7955,1
25584,1
17547,0
15661,1
5665,0
13534,1
33359,1
2132,1
18973,1
13371,0
19992,1
11387,1
22552,1
13505,1
9682,1
31251,1
3930,1
1895,1
9535,0
1808,0
19052,0
34903,1
31660,1
25687,1
27329,1
628,1
34081,0
24738,1
14654,1
21506,1
8475,1
2266,1
11048,1
6272,0
9057,1
34652,1
21202,1
23144,0
26961,0
1890,0
7220,0
23160,0
29728,0
11389,1
24095,1
19617,0
11836,0
30814,1
11242,1
20747,1
28486,1
6253,1
14018,1
14065,1
579,1
15961,1
28109,0
9303,1
30212,1
21161,0
28889,1
15931,1
11198,0
9724,0
4335,1
18651,1
23920,1
22696,1
32956,1
15140,0
31097,0
4794,0
3525,1
31413,1
2390,0
23100,1
25990,1
30418,1
4254,1
10714,0
34189,1
30103,1
23388,1
19152,0
5221,1
17767,1
7964,0
34331,1
22996,1
21012,1
14931,1
11451,1
14638,1
35024,0
35556,1
16604,0
16711,0
29120,1
705,1
2146,1
28323,1
1066,1
3570,1
4216,1
30827,1
31915,1
27093,1
20702,0
4241,0
9038,1
35500,0
4169,1
9480,1
25578,1
616,1
15770,1
24459,1
16817,1
5382,0
5467,0
4528,0
9154,1
1972,1
24452,1
30766,0
1523,1
13910,0
28342,1
34616,0
16477,1
28654,1
16822,1
12657,1
28496,1
6496,1
36229,1
1719,1
35397,1
8374,0
33096,1
3246,1
14526,1
14555,1
8304,1
27073,1
22013,1
28522,0
5128,1
20757,0
28836,1
2798,1
26914,1
2622,1
5685,1
35698,0
25839,1
25753,0
5031,0
30190,1
14637,1
24138,0
18941,0
13655,1
880,1
32849,1
10031,1
22508,0
4168,1
4361,0
2710,0
17162,1
21634,1
1246,1
664,1
30867,0
6341,0
16178,0
18805,1
29464,1
11131,0
16744,1
19527,1
2805,0
20546,0
25836,0
15822,1
7742,1
5425,1
7651,1
8511,0
261,1
25961,0
24711,0
21981,0
853,1
15944,0
1475,1
14987,0
26238,0
12361,1
34670,0
374,1
3643,1
29879,0
21082,1
26995,0
28581,0
24048,1
27583,0
32881,0
10217,0
13184,1
10580,1
644,1
23947,0
30244,1
18314,1
8447,0
20926,0
16151,0
5181,0
24460,1
8771,0
11060,1
30761,0
26648,1
8370,1
7221,1
11895,0
19314,1
35852,0
36212,0
30690,1
27565,1
35074,1
20872,1
13974,1
18353,1
18116,1
32628,1
3813,0
18331,1
8241,0
14307,1
16257,1
12384,0
30173,0
15575,1
173,1
29160,1
2901,0
1911,1
9887,1
33417,1
33851,1
11935,1
13959,1
5784,1
29242,1
21622,1
34756,1
35770,0
34686,1
6573,1
27177,1
26486,1
21184,0
13458,1
8909,0
2405,1
25829,0
26749,1
9289,0
17553,1
28059,0
576,0
23044,1
2924,1
34926,1
116,0
23775,0
32296,0
27182,1
28403,0
32549,1
7815,1
32472,0
2947,1
27407,1
8404,1
14722,1
3096,1
28685,0
8925,0
12917,1
26298,1
13748,1
2848,1
35439,0
18879,1
7743,0
15319,0
16886,0
26709,0
24526,0
28540,0
20518,1
6778,1
31490,1
11379,0
8194,1
8028,0
18772,1
10484,1
32838,1
15509,0
22122,1
4246,1
11715,0
4164,0
4981,1
27755,1
28067,1
21884,1
6053,1
7921,1
22215,0
13124,0
4200,0
13634,1
24967,1
7685,1
30500,1
7537,0
23435,1
2876,1
15363,0
9831,0
3013,1
27635,1
1992,0
34226,1
23604,1
21974,1
34435,1
23401,0
3757,0
623,1
8116,1
7981,1
2290,1
27631,1
28944,0
34334,1
12307,1
550,1
7420,0
17842,1
35077,1
25299,1
28848,0
28160,1
5960,0
10520,0
4892,1
29908,1
19679,0
17730,0
4762,1
34364,1
34964,1
15476,1
35807,1
11270,0
16866,0
7937,0
32860,1
7355,1
2444,1
22231,0
30261,1
25944,0
31537,1
3402,0
34583,1
28814,0
1444,0
27303,0
27261,1
15219,0
28335,0
35267,1
930,1
14207,0
323,0
8969,0
35778,0
9291,1
29193,0
8321,0
13985,1
27379,1
10501,0
15962,1
21780,1
20835,1
1691,0
35507,1
12462,1
27342,0
18616,1
14875,0
31184,1
995,0
16431,1
19972,0
6720,1
14100,1
17385,1
8723,1
21093,1
30402,1
341,1
19955,1
19121,0
33418,1
19487,1
33083,0
10493,1
20241,0
17822,1
14337,0
31737,0
13477,1
35332,0
23728,1
23103,0
19492,1
833,1
17446,1
5081,1
9279,0
25403,1
5584,0
5488,0
28235,1
26384,1
12825,1
31434,0
24361,1
4110,1
1508,1
20579,1
24400,1
14299,1
23111,1
32397,1
21844,1
23742,1
22941,0
22186,1
2323,1
35564,1
6049,1
3398,0
14223,1
13594,1
12637,0
3082,0
30396,1
17050,1
4080,0
35579,1
25888,1
474,0
14428,1
34975,1
32312,0
8388,1
18202,1
1457,1
290,1
8006,1
8141,1
29401,1
631,1
35944,1
23443,1
20305,0
12408,1
13127,1
14185,0
15610,1
17476,1
2142,0
33470,1
1974,0
31515,1
23672,1
29561,1
27625,0
36070,1
11742,1
9370,0
18233,1
14243,1
13849,0
26126,1
25415,1
25898,1
252,0
10642,1
34678,1
8322,1
21239,1
21581,1
25600,1
24350,1
22148,1
22267,1
2414,0
9900,1
6934,1
2280,0
7753,1
22726,1
29439,1
24614,1
31572,0
24528,0
30869,0
30182,0
33845,0
10917,0
32944,1
6657,1
10915,1
25948,1
32833,1
36194,1
3168,1
33250,0
15983,1
33482,1
30198,1
13991,0
27492,1
19108,0
23297,1
23640,1
10855,0
12105,1
18417,1
19307,1
10263,1
32783,1
16726,1
21077,0
10927,1
8151,1
35081,0
9685,1
13298,1
28563,0
12757,0
32550,1
28526,1
459,0
